datetime,datetime_str,00010_Maximum,00010_Maximum_cd,site_no,00010_Minimum,00010_Minimum_cd,00010_Mean,00010_Mean_cd,00060_Mean,00060_Mean_cd,63680_Maximum,63680_Maximum_cd,63680_Minimum,63680_Minimum_cd,63680_Mean,63680_Mean_cd,datetime
2008-11-26 00:00:00-05:00,2008-11-26 00:00:00,,,015765185,,,,,0.38,"A, e",,,,,,,2008-11-26 00:00:00-05:00
2008-11-27 00:00:00-05:00,2008-11-27 00:00:00,,,015765185,,,,,0.36,"A, e",,,,,,,2008-11-27 00:00:00-05:00
2008-11-28 00:00:00-05:00,2008-11-28 00:00:00,,,015765185,,,,,0.33,"A, e",,,,,,,2008-11-28 00:00:00-05:00
2008-11-29 00:00:00-05:00,2008-11-29 00:00:00,,,015765185,,,,,0.31,"A, e",,,,,,,2008-11-29 00:00:00-05:00
2008-11-30 00:00:00-05:00,2008-11-30 00:00:00,,,015765185,,,,,1.73,"A, e",,,,,,,2008-11-30 00:00:00-05:00
2008-12-01 00:00:00-05:00,2008-12-01 00:00:00,,,015765185,,,,,1.97,"A, e",,,,,,,2008-12-01 00:00:00-05:00
2008-12-02 00:00:00-05:00,2008-12-02 00:00:00,,,015765185,,,,,1.12,"A, e",,,,,,,2008-12-02 00:00:00-05:00
2008-12-03 00:00:00-05:00,2008-12-03 00:00:00,,,015765185,,,,,0.73,"A, e",,,,,,,2008-12-03 00:00:00-05:00
2008-12-04 00:00:00-05:00,2008-12-04 00:00:00,,,015765185,,,,,0.66,"A, e",,,,,,,2008-12-04 00:00:00-05:00
2008-12-05 00:00:00-05:00,2008-12-05 00:00:00,,,015765185,,,,,0.6,"A, e",,,,,,,2008-12-05 00:00:00-05:00
2008-12-06 00:00:00-05:00,2008-12-06 00:00:00,,,015765185,,,,,0.51,"A, e",,,,,,,2008-12-06 00:00:00-05:00
2008-12-07 00:00:00-05:00,2008-12-07 00:00:00,,,015765185,,,,,0.48,"A, e",,,,,,,2008-12-07 00:00:00-05:00
2008-12-08 00:00:00-05:00,2008-12-08 00:00:00,,,015765185,,,,,0.44,"A, e",,,,,,,2008-12-08 00:00:00-05:00
2008-12-09 00:00:00-05:00,2008-12-09 00:00:00,,,015765185,,,,,0.4,"A, e",,,,,,,2008-12-09 00:00:00-05:00
2008-12-10 00:00:00-05:00,2008-12-10 00:00:00,,,015765185,,,,,1.2,"A, e",,,,,,,2008-12-10 00:00:00-05:00
2008-12-11 00:00:00-05:00,2008-12-11 00:00:00,,,015765185,,,,,12.0,"A, e",,,,,,,2008-12-11 00:00:00-05:00
2008-12-12 00:00:00-05:00,2008-12-12 00:00:00,,,015765185,,,,,9.89,A,,,,,,,2008-12-12 00:00:00-05:00
2008-12-13 00:00:00-05:00,2008-12-13 00:00:00,,,015765185,,,,,1.89,A,,,,,,,2008-12-13 00:00:00-05:00
2008-12-14 00:00:00-05:00,2008-12-14 00:00:00,,,015765185,,,,,1.29,A,,,,,,,2008-12-14 00:00:00-05:00
2008-12-15 00:00:00-05:00,2008-12-15 00:00:00,,,015765185,,,,,1.2,"A, e",,,,,,,2008-12-15 00:00:00-05:00
2008-12-16 00:00:00-05:00,2008-12-16 00:00:00,,,015765185,,,,,1.71,"A, e",,,,,,,2008-12-16 00:00:00-05:00
2008-12-17 00:00:00-05:00,2008-12-17 00:00:00,,,015765185,,,,,4.2,"A, e",,,,,,,2008-12-17 00:00:00-05:00
2008-12-18 00:00:00-05:00,2008-12-18 00:00:00,,,015765185,,,,,1.99,"A, e",,,,,,,2008-12-18 00:00:00-05:00
2008-12-19 00:00:00-05:00,2008-12-19 00:00:00,,,015765185,,,,,8.1,"A, e",,,,,,,2008-12-19 00:00:00-05:00
2008-12-20 00:00:00-05:00,2008-12-20 00:00:00,,,015765185,,,,,2.87,"A, e",,,,,,,2008-12-20 00:00:00-05:00
2008-12-21 00:00:00-05:00,2008-12-21 00:00:00,,,015765185,,,,,2.0,"A, e",,,,,,,2008-12-21 00:00:00-05:00
2008-12-22 00:00:00-05:00,2008-12-22 00:00:00,,,015765185,,,,,1.54,"A, e",,,,,,,2008-12-22 00:00:00-05:00
2008-12-23 00:00:00-05:00,2008-12-23 00:00:00,,,015765185,,,,,1.41,"A, e",,,,,,,2008-12-23 00:00:00-05:00
2008-12-24 00:00:00-05:00,2008-12-24 00:00:00,,,015765185,,,,,2.66,"A, e",,,,,,,2008-12-24 00:00:00-05:00
