datetime,daily_SSC_Load,daily_count,site_no
2009-03-25 00:00:00-05:00,,0,01576516
2009-03-26 00:00:00-05:00,0.384,86,01576516
2009-03-27 00:00:00-05:00,0.33799999999999997,95,01576516
2009-03-28 00:00:00-05:00,0.537,96,01576516
2009-03-29 00:00:00-05:00,0.684,96,01576516
2009-03-30 00:00:00-05:00,0.384,96,01576516
2009-03-31 00:00:00-05:00,0.38,96,01576516
2009-04-01 00:00:00-05:00,0.365,96,01576516
2009-04-02 00:00:00-05:00,0.365,95,01576516
2009-04-03 00:00:00-05:00,13.3,96,01576516
2009-04-04 00:00:00-05:00,0.7340000000000001,96,01576516
2009-04-05 00:00:00-05:00,0.44,96,01576516
2009-04-06 00:00:00-05:00,0.415,96,01576516
2009-04-07 00:00:00-05:00,0.332,96,01576516
2009-04-08 00:00:00-05:00,0.307,96,01576516
2009-04-09 00:00:00-05:00,0.284,96,01576516
2009-04-10 00:00:00-05:00,0.289,96,01576516
2009-04-11 00:00:00-05:00,0.47100000000000003,96,01576516
2009-04-12 00:00:00-05:00,0.27899999999999997,96,01576516
2009-04-13 00:00:00-05:00,0.265,96,01576516
2009-04-14 00:00:00-05:00,0.521,96,01576516
2009-04-15 00:00:00-05:00,0.8540000000000001,96,01576516
2009-04-16 00:00:00-05:00,0.506,96,01576516
2009-04-17 00:00:00-05:00,0.281,96,01576516
2009-04-18 00:00:00-05:00,0.228,95,01576516
2009-04-19 00:00:00-05:00,0.243,96,01576516
2009-04-20 00:00:00-05:00,0.37,96,01576516
2009-04-21 00:00:00-05:00,2.38,96,01576516
2009-04-22 00:00:00-05:00,0.43799999999999994,96,01576516
2009-04-23 00:00:00-05:00,0.344,96,01576516
2009-04-24 00:00:00-05:00,0.358,96,01576516
2009-04-25 00:00:00-05:00,0.385,96,01576516
2009-04-26 00:00:00-05:00,0.361,96,01576516
2009-04-27 00:00:00-05:00,0.349,96,01576516
2009-04-28 00:00:00-05:00,0.33399999999999996,96,01576516
2009-04-29 00:00:00-05:00,0.298,96,01576516
2009-04-30 00:00:00-05:00,0.303,96,01576516
2009-05-01 00:00:00-05:00,0.281,96,01576516
2009-05-02 00:00:00-05:00,0.26,95,01576516
2009-05-03 00:00:00-05:00,0.255,96,01576516
2009-05-04 00:00:00-05:00,2.31,96,01576516
2009-05-05 00:00:00-05:00,0.521,96,01576516
2009-05-06 00:00:00-05:00,0.8440000000000001,96,01576516
2009-05-07 00:00:00-05:00,2.69,96,01576516
2009-05-08 00:00:00-05:00,0.722,96,01576516
2009-05-09 00:00:00-05:00,0.637,96,01576516
2009-05-10 00:00:00-05:00,0.618,96,01576516
2009-05-11 00:00:00-05:00,0.561,96,01576516
2009-05-12 00:00:00-05:00,0.552,96,01576516
2009-05-13 00:00:00-05:00,0.6970000000000001,96,01576516
2009-05-14 00:00:00-05:00,2.26,96,01576516
2009-05-15 00:00:00-05:00,1.32,96,01576516
2009-05-16 00:00:00-05:00,1.07,96,01576516
2009-05-17 00:00:00-05:00,0.821,96,01576516
2009-05-18 00:00:00-05:00,0.7979999999999999,96,01576516
2009-05-19 00:00:00-05:00,0.8009999999999999,96,01576516
2009-05-20 00:00:00-05:00,0.9,96,01576516
2009-05-21 00:00:00-05:00,0.934,96,01576516
2009-05-22 00:00:00-05:00,1.14,94,01576516
2009-05-23 00:00:00-05:00,1.07,91,01576516
2009-05-24 00:00:00-05:00,0.9159999999999999,89,01576516
2009-05-25 00:00:00-05:00,1.7,94,01576516
2009-05-26 00:00:00-05:00,1.54,94,01576516
2009-05-27 00:00:00-05:00,0.599,94,01576516
2009-05-28 00:00:00-05:00,0.573,93,01576516
2009-05-29 00:00:00-05:00,6.35,92,01576516
2009-05-30 00:00:00-05:00,0.946,96,01576516
2009-05-31 00:00:00-05:00,0.726,96,01576516
2009-06-01 00:00:00-05:00,0.67,96,01576516
2009-06-02 00:00:00-05:00,2.93,90,01576516
2009-06-03 00:00:00-05:00,2.28,96,01576516
2009-06-04 00:00:00-05:00,3.2,96,01576516
2009-06-05 00:00:00-05:00,7.08,96,01576516
2009-06-06 00:00:00-05:00,1.75,96,01576516
2009-06-07 00:00:00-05:00,1.09,96,01576516
2009-06-08 00:00:00-05:00,0.977,96,01576516
2009-06-09 00:00:00-05:00,0.997,96,01576516
2009-06-10 00:00:00-05:00,0.9540000000000001,96,01576516
2009-06-11 00:00:00-05:00,1.46,96,01576516
2009-06-12 00:00:00-05:00,0.998,96,01576516
2009-06-13 00:00:00-05:00,0.945,96,01576516
2009-06-14 00:00:00-05:00,1.13,96,01576516
2009-06-15 00:00:00-05:00,0.897,96,01576516
2009-06-16 00:00:00-05:00,0.889,96,01576516
2009-06-17 00:00:00-05:00,1.09,96,01576516
2009-06-18 00:00:00-05:00,2.24,95,01576516
2009-06-19 00:00:00-05:00,1.72,96,01576516
2009-06-20 00:00:00-05:00,21.9,96,01576516
2009-06-21 00:00:00-05:00,2.17,96,01576516
2009-06-22 00:00:00-05:00,1.32,96,01576516
2009-06-23 00:00:00-05:00,1.17,95,01576516
2009-06-24 00:00:00-05:00,1.12,96,01576516
2009-06-25 00:00:00-05:00,1.09,96,01576516
2009-06-26 00:00:00-05:00,1.03,96,01576516
2009-06-27 00:00:00-05:00,1.02,96,01576516
2009-06-28 00:00:00-05:00,1.06,96,01576516
2009-06-29 00:00:00-05:00,1.11,96,01576516
2009-06-30 00:00:00-05:00,1.08,94,01576516
2009-07-01 00:00:00-05:00,1.14,96,01576516
2009-07-02 00:00:00-05:00,1.09,96,01576516
2009-07-03 00:00:00-05:00,1.0,96,01576516
2009-07-04 00:00:00-05:00,0.89,96,01576516
2009-07-05 00:00:00-05:00,0.9009999999999999,96,01576516
2009-07-06 00:00:00-05:00,0.888,96,01576516
2009-07-07 00:00:00-05:00,0.8640000000000001,95,01576516
